Image,Mean_X,Image_Midpoint_X
0-angle+_lower_half.jpeg,319.09090909090907,320
0-angle-_lower_half.jpeg,293.27272727272725,320
0-angle_lower_half.jpeg,280.72727272727275,320
0-straight_lower_half.jpeg,338.8181818181818,320
0straight_lower_half.jpeg,328.6363636363636,320
1-angle+_lower_half.jpeg,382.72727272727275,320
1-angle-_lower_half.jpeg,328.27272727272725,320
1-angle_lower_half.jpeg,372.0,320
1-straight_lower_half.jpeg,338.09090909090907,320
10-angle+_lower_half.jpeg,404.3636363636364,320
10-angle-_lower_half.jpeg,272.6363636363636,320
10-straight_lower_half.jpeg,353.0,320
10straight_lower_half.jpeg,370.0,320
11-angle+_lower_half.jpeg,410.27272727272725,320
11-angle-_lower_half.jpeg,228.54545454545453,320
11-straight_lower_half.jpeg,351.09090909090907,320
11straight_lower_half.jpeg,324.54545454545456,320
12-angle+_lower_half.jpeg,382.0,320
12-angle-_lower_half.jpeg,190.63636363636363,320
12-straight_lower_half.jpeg,321.09090909090907,320
12straight_lower_half.jpeg,289.1818181818182,320
13-angle+_lower_half.jpeg,400.09090909090907,320
13-angle-_lower_half.jpeg,210.45454545454547,320
13-straight_lower_half.jpeg,337.8181818181818,320
13straight_lower_half.jpeg,344.3636363636364,320
14-angle+_lower_half.jpeg,357.27272727272725,320
14-angle-_lower_half.jpeg,211.1818181818182,320
14-straight_lower_half.jpeg,324.27272727272725,320
14straight_lower_half.jpeg,325.3636363636364,320
15-angle+_lower_half.jpeg,359.45454545454544,320
15-angle-_lower_half.jpeg,217.27272727272728,320
15-straight_lower_half.jpeg,308.1818181818182,320
15straight_lower_half.jpeg,316.72727272727275,320
16-angle+_lower_half.jpeg,375.90909090909093,320
16-angle-_lower_half.jpeg,208.0909090909091,320
16-straight_lower_half.jpeg,280.45454545454544,320
16straight_lower_half.jpeg,311.0,320
17-angle+_lower_half.jpeg,351.54545454545456,320
17-angle-_lower_half.jpeg,228.27272727272728,320
17-straight_lower_half.jpeg,304.54545454545456,320
17straight_lower_half.jpeg,303.72727272727275,320
18-angle-_lower_half.jpeg,206.63636363636363,320
18-straight_lower_half.jpeg,343.3636363636364,320
19-angle-_lower_half.jpeg,196.0,320
19-straight_lower_half.jpeg,357.09090909090907,320
1straight_lower_half.jpeg,360.3636363636364,320
2-angle+_lower_half.jpeg,386.8181818181818,320
2-angle-_lower_half.jpeg,207.9090909090909,320
2-angle_lower_half.jpeg,385.0,320
2-straight_lower_half.jpeg,329.0,320
20-angle-_lower_half.jpeg,207.63636363636363,320
20-straight_lower_half.jpeg,339.0,320
21-angle-_lower_half.jpeg,236.0,320
21-straight_lower_half.jpeg,385.3636363636364,320
22-angle-_lower_half.jpeg,219.72727272727272,320
23-angle-_lower_half.jpeg,245.0909090909091,320
24-angle-_lower_half.jpeg,225.36363636363637,320
25-angle-_lower_half.jpeg,227.8181818181818,320
26-angle-_lower_half.jpeg,226.1818181818182,320
27-angle-_lower_half.jpeg,243.45454545454547,320
28-angle-_lower_half.jpeg,251.45454545454547,320
3-angle+_lower_half.jpeg,343.6363636363636,320
3-angle-_lower_half.jpeg,215.1818181818182,320
3-angle_lower_half.jpeg,402.27272727272725,320
3-straight_lower_half.jpeg,331.27272727272725,320
30-angle-_lower_half.jpeg,274.8181818181818,320
31-angle-_lower_half.jpeg,304.72727272727275,320
32-angle-_lower_half.jpeg,275.1818181818182,320
33-angle-_lower_half.jpeg,299.6363636363636,320
34-angle-_lower_half.jpeg,269.8181818181818,320
35-angle-_lower_half.jpeg,242.45454545454547,320
36-angle-_lower_half.jpeg,323.8181818181818,320
37-angle-_lower_half.jpeg,267.8181818181818,320
38-angle-_lower_half.jpeg,287.27272727272725,320
39-angle-_lower_half.jpeg,241.36363636363637,320
4-angle+_lower_half.jpeg,343.72727272727275,320
4-angle_lower_half.jpeg,396.1818181818182,320
4-straight_lower_half.jpeg,331.72727272727275,320
40-angle-_lower_half.jpeg,232.27272727272728,320
41-angle-_lower_half.jpeg,199.36363636363637,320
42-angle-_lower_half.jpeg,220.0,320
43-angle-_lower_half.jpeg,261.0,320
44-angle-_lower_half.jpeg,185.0,320
45-angle-_lower_half.jpeg,224.36363636363637,320
5-angle+_lower_half.jpeg,340.27272727272725,320
5-angle-_lower_half.jpeg,211.1818181818182,320
5-angle_lower_half.jpeg,339.8181818181818,320
5-straight_lower_half.jpeg,323.09090909090907,320
6-angle+_lower_half.jpeg,319.09090909090907,320
6-angle-_lower_half.jpeg,180.63636363636363,320
6-straight_lower_half.jpeg,323.54545454545456,320
7-angle+_lower_half.jpeg,308.8181818181818,320
7-angle-_lower_half.jpeg,215.0909090909091,320
7-straight_lower_half.jpeg,323.6363636363636,320
8-angle+_lower_half.jpeg,350.45454545454544,320
8-angle-_lower_half.jpeg,217.27272727272728,320
8-straight_lower_half.jpeg,333.0,320
9-angle+_lower_half.jpeg,301.45454545454544,320
9-angle-_lower_half.jpeg,263.54545454545456,320
9-straight_lower_half.jpeg,356.6363636363636,320
original0_lower_half.jpeg,224.36363636363637,320
original10_lower_half.jpeg,388.45454545454544,320
original11_lower_half.jpeg,313.27272727272725,320
original12_lower_half.jpeg,332.0,320
original13_lower_half.jpeg,356.1818181818182,320
original14_lower_half.jpeg,299.0,320
original15_lower_half.jpeg,274.3636363636364,320
original16_lower_half.jpeg,241.0909090909091,320
original17_lower_half.jpeg,282.6363636363636,320
original18_lower_half.jpeg,293.09090909090907,320
original19_lower_half.jpeg,304.27272727272725,320
original1_lower_half.jpeg,246.8181818181818,320
original20_lower_half.jpeg,308.45454545454544,320
original21_lower_half.jpeg,285.54545454545456,320
original22_lower_half.jpeg,266.72727272727275,320
original23_lower_half.jpeg,244.1818181818182,320
original24_lower_half.jpeg,248.63636363636363,320
original25_lower_half.jpeg,229.54545454545453,320
original26_lower_half.jpeg,206.8181818181818,320
original27_lower_half.jpeg,317.8181818181818,320
original28_lower_half.jpeg,336.45454545454544,320
original29_lower_half.jpeg,341.27272727272725,320
original2_lower_half.jpeg,180.63636363636363,320
original30_lower_half.jpeg,361.72727272727275,320
original31_lower_half.jpeg,295.09090909090907,320
original32_lower_half.jpeg,302.72727272727275,320
original33_lower_half.jpeg,305.8181818181818,320
original34_lower_half.jpeg,352.27272727272725,320
original35_lower_half.jpeg,401.3636363636364,320
original36_lower_half.jpeg,319.1818181818182,320
original37_lower_half.jpeg,268.54545454545456,320
original38_lower_half.jpeg,214.27272727272728,320
original39_lower_half.jpeg,231.1818181818182,320
original3_lower_half.jpeg,261.90909090909093,320
original40_lower_half.jpeg,252.36363636363637,320
original41_lower_half.jpeg,266.1818181818182,320
original42_lower_half.jpeg,302.09090909090907,320
original43_lower_half.jpeg,299.1818181818182,320
original44_lower_half.jpeg,277.45454545454544,320
original45_lower_half.jpeg,293.1818181818182,320
original46_lower_half.jpeg,292.09090909090907,320
original47_lower_half.jpeg,386.90909090909093,320
original48_lower_half.jpeg,387.54545454545456,320
original49_lower_half.jpeg,345.8181818181818,320
original4_lower_half.jpeg,384.54545454545456,320
original5_lower_half.jpeg,335.1818181818182,320
original6_lower_half.jpeg,344.8181818181818,320
original7_lower_half.jpeg,400.45454545454544,320
original8_lower_half.jpeg,277.6363636363636,320
original9_lower_half.jpeg,387.54545454545456,320
